('tuuid', 'da1f0e1e-3edc-4728-b6f5-16fd932aab9b', '360yield')
('cmrum2', '265357225d0&04535585ee3724990936638627704&c95372741d0&39535585ec775463563664118754&03534de7e553095344-ad4c-4500-b90f-06d911e4bc50&1e5345562bf48a8159-a6f3-380e-499f-170ffedd9457&3e535585ecrz860013970105130029&d3534de7dd0&14535586603a062717-a6b8-491d-9580-09fdef902dd3', 'casalemedia')
('cmsc', 'u0xlaw**', 'casalemedia')
('cmst', 'u0xla1nms+aa', 'casalemedia')
('s_vi', '[cs]v1|29a62b6b85011b13-40001603c000a47a[ce]', 'cbsi')
('__cfduid', 'd2c3ebdacf84375c531acf7c3eba9acc11397509395019', 'cloudflare')
('__cfduid', 'd92532e581a2bd3eae7da4942371e27ad1397509395735', 'cloudflare')
('cna', 'mjvlc+97wxqcaav8gukzcgfw', 'cnzz')
('cli', '13585c73e30f41a', 'collective-media')
('jy57', 'ct', 'collective-media')
('acdc', '*11p60exwybeq6qqb5fqbq07jnfgrav6nnvqaamt4g4igbokw6inxc0wg%2fyhltiltihg0%2fjajglc%2b2bjy3%2bsiqsg%3d%3d', 'criteo')
('udc', '*1euxyq09pfgqaapz0d%2bbcow%3d%3d', 'criteo')
('udc', '*1ajvt%2bgfw%2f8pyh2istroh8g%3d%3d', 'criteo')
('uic', '*1n9domxdq9szs9f08axm6o0ce39v%2fho8%2fxnhfzvcpwtzv09di1oe4%2bzpgtbsxreltozhfhkerxqqrvwq7sbhomi2sw%2f0sqk%2bnt%2fjsw9o7cd5gaqcqrl%2bxtn7ltkffj7mlpw2lkjfdcpjq%2f8xqtn431xyqqwlqwqaykrbfr%2bii7apehxc3lgtbm9q7n%2b4qn1iwlbfjd1ejlvrjluuouocslopjaaugv%2bpzwvsanmoqnvs%3d', 'criteo')
('uid', '3a062717-a6b8-491d-9580-09fdef902dd3', 'criteo')
('zdi', '*1bzpwcqjegyudhdiqu4yjgwc2ltffsw4zrmql4%2bnqdlm%3d', 'criteo')
('zdi', '*1rz%2fxplaj6ptgwomwbsdaxnrk7en1ecrpsbqkmokuyjk%3d', 'criteo')
('zdi', '*1ad32pvpici22bdr0k4kzzdaoduhhat30kjv0z6xcl0bulfijswqjfw8hvvhcpw8dy7xh5zeo7l8d3t3udckjdiy2y7jtaygjmsjcjfpnlypf6huvpuymim0rvcnes6zgrusgthzopdygrlk1%2fzoyuczo1hgvkfmjfmpzazekvw%2fud%2fbr5suyfklve2uw7yxxm6kofvr40qdx8a5rrb58qxbbmcqqtzavjqeeodcwadudwud9sffyiltamxeac7lzybzxe9df0ucfrztlter2qreoyefjuzfpbgpseq8j4mkrwqecl1qxab8hi%2b2a4bmz', 'criteo')
('zdi', '*1tafjsom7vkvunhxsuwnsntceb7ivn21eg0scwm%2b6%2f%2f%2bwxs8dn8e8ci%2b7clci%2b8fa6s36bqxjliv2besskdearndwjzpcbpcas4nn6vapydae6xj7p974svajcj0wlq5lgu1lpuul079yjroawmqqbdal5ety6qdmsji6r1s2uszdzyjt2kh%2fndd3o8zzbllx%2fmcgxar7al5newr5uupd0qkdh0fpekpw3jj1n1%2bv%2bjoq4scvbsbhketqhzgwzyhpypmk00drzxqa5i1xgi%2bwogxc4mxx7%2fujainot8%2futvjyanfrjis6qp1faggth8puihabokl6gs3bg5vu%2f9undjv6x4ypgkfpbpwm226pbmkxflu1qcwxitlcn9bonyk1w%2becvcpeqtrnfn0pwyuog0zndchczrz%2flg91akvkmisqltd1%2fwgd3yjfycdgfr%2fgmv5mr9oarcjpjqh0chenbfed6wswojtea3ibwam8ngn3jqip3hdsaz3t6jcfurcuoh%2fj4z2jld43jzf9%2fsdewellaaxry6xmz5xeh7w9zoipjm%2b3ooxejpw4zk2%2bqa%2fbeifjkakozlemvqqaah%2futmkq%2fzgb4rxxe3qobosoqaxkf3xr49%2bymq1xl9u3bfn7', 'criteo')
('zdi', '*19clet%2fbntd%2f70go85fderk9sz9mdm5lywv7nvt%2fck4fwi2rdsfel7eiqigj077l455cwrfevhmvhlpuol9eseqdytmziv%2bynqmroz1mcx4e4wygvepreslr8rnbaarvqec9pwlt9t1rkavdyrpfoptf3%2fnfyxpy1gbhyecvuwya06hz1u4prixmr3zhbtp3lh0qdtgsl8%2ffv6xvstve81aonpnmfefryfvnvrpj9k0tnkrr%2bi9bk1ig2w5p98daimvauk33aob2c3r8uth2mbrh5yhw1qzfdw6zdl0cf%2bph3mebljdblaxo5etubcynuq5jx5xokkjoelkmeiy009c9uyaxhmxr9t8t079busy0%2fiwrilv2ii7vpgfs7zhx0rnj8ollxhqptjeq771e6tymoch2lhfuyhd2z8bublqrk%2bw23h4lx1ix%2b3jguu%2ffk2mlztesau4jw9zs83kuum7keo%2fve7wda8dwtpnwsgfugsqna6igmchcb%2bxnrdtert5yoltq8suhrhpizi5bqavsvo4tn207loiygcmdp5zeozv90b2d7henyc6kcppbbynmtolzejawnwtg2c7bbsjh95rkqibezbcdlfbqn%2b4sd1mkuadofnb7f5xxmthmfjtv9qj%2fj1pub4izwfippya1zx2ic4ngzetmpx602cukniz5yfnf5eueemtyfzecnp6stqcuzym7lewyvw%2fsokg%3d%3d', 'criteo')
('zdi', '*1ucden8s5by%2bldecyjf02gw376ic1zgucees6b5fq2hcfyrecxy26qea34mmtcuag', 'criteo')
('__csgeo', 'deg.16872_deg5.710_deg10.193_cc.us', 'crowdscience')
('__csmv', 'b71582b80b64033b', 'crowdscience')
('__csv', 'b6ad2140231f959', 'crowdscience')
('_cc_aud', '"abr4ndxts0hvqrja8dotmrr56hozskvr0kkndq6tyex0eixineoicwfagmyqdemo6j7sawfld08psupbvrk00klmiz029icywrzo2yipiv%2bfzul%2b7sw538x838weqrds2lqlmfj%2fna2c7ux86y6gzn0wmpvxqj4l0xeil0or3gmylyl%2bd%2fiecp76rgamljvkyug6dnqoqvvq2qzdearnu6sntmbcwbrkp41lotegtjtdvq%2buf4het%2firuuyycakqsqhjapy8ibh0qctrkf5jy7o8%2bwoodbdudywqgycuqcyagje49bzoxfet%2btjprg64wazfoqn2%2fyqhvyg3f073o58fmqjh4kfphzxlylprxfij9844yhhpflcjt8pzc2hmftjabkfltthywrimpspah4bxsx2unle1daqnk7izwwtncyfvfjrvq2km8v6ttqw1b2d4ilicumzsz8gca%2fdsrgejsmmhk8qgaxjwu%2f0rmpa2pg1n2n1opebit8ntj3dqpomdg57n8cohrq7bnu9q6k5elueqnzh3ixonk5dxxgc2qoildpebkewp%2bmxnbqi1gslv8niztnobl3wj47dg6bg8oah58b%2bfvx5rfjs%3d"', 'crwdcntrl')
('_cc_cc', '"acn4ngnqmljmsjjnsrnimrg0seyyndmyt0xjmzjitk02sjc1nlngaijgh%2b%2fu%2fz8snzega%2f4jyzyymvbezmd4z8jiwmjawhhk2xp0gbwoaqhdt4duoyra2nksvify9u5ugdaezlsbtu8iagzcoi2uhqddgbtdgandgbxdyw2oanebh6ekmfjc8lflzbdqgwjdyldh4jz7gmtz5y3eew6a4han7oji4or5%2fxfegqny9ujowljb7gq4c6ef1kbojjmizs4fofmfyybupl6hn7k6kpyq1ynsoxykzrraja4ocogcmktingnncm6ducke%2fxfichccewlccjffiudy7p24lgsnayyygnpdkglbuthwfceje85dcdoddrcc%2fd1vyjxybcdqxrbzpgjb8f7sgwtpbluep2hrhqtnxcunzi49gipz%2fwsyjawyze4koy%2ftqhcozpuk4hiy6yplidmn%2fd1mzm4mbkfdbiqj%2bf8fokiwhtagoswnor6hxpun1deur%2bitlbxvth1dzeo0qw9owajz1ddumysgyrrae059q9sfl9dc0mm0spytkdq3lppxhoobcgagzt3e"', 'crwdcntrl')
('_cc_dc', '0', 'crwdcntrl')
('_cc_domain', '.nexac.com', 'crwdcntrl')
('_cc_id', '29bb5bf8b498ab9627adf20cec285968', 'crwdcntrl')
('gckp', 'hu08qr8d3sfhba4e', 'cxense')
('gcks', 'hu08qr8cwg6uoosa', 'cxense')
('aexp', '63194915111066834393820680370862585244', 'demdex')
('demdex', '63194915111066834393820680370862585244', 'demdex')
('dexlifecycle', '"ma==|ma==|ma==|ma==|ma==|ma==|ma=="', 'demdex')
('dexlifecycle', '"ma==|odg4mdczpte6mtkyncw4oduwndq9mtoxoti0ldyxmty5nd0xoje5mjqsnjexnjgxpte6mtkyncw2mte3mdc9mtoxoti0ldeymta2od0xoje5mjqsodg0otmwpte6mtkyncwzotawndm9mtoxoti0ldg4ndmznj0xoje5mjqsnzc3nzg9mtoxoti0ldm4oda3ot0xoje5mjqsmzg3njmxpte6mtkyncw4odqznjq9mtoxoti0ldm3nty0od0xoje5mjq=|ma==|oty2mtusoty2mtgsnzu5ntysnzi0otgsoty2mjgsoty4ndmsoty2njmsnzi0mjusoty2ntesodmxndksoty2mdcsoty4ndqsnty5mdi=|ma==|ma==|ma=="', 'demdex')
('dexlifecycle', '"ma==|odg1mdq0pte6mtkyncw4odq5mza9mtoxoti0ldg4ndm2nd0xoje5mjqsmzc1njq4pte6mtkyncw4odgwnzm9mtoxoti5ldg4mzyzmt0xoje5mjksodg0oti4pte6mtkyosw4odqzmzy9mtoxoti5ldg0odm4md0xoje5mjksodg4mdc0pte6mtkyosw4odm2mza9mtoxoti5ldcynzkzmd0xoje5mjksnjexnjk0pte6mtkyosw2mte2ode9mtoxoti5ldyxmtcwnz0xoje5mjksmtixmdy4pte6mtkyoswzotawndm9mtoxoti5ldc3nzc4pte6mtkyoswzodgwnzk9mtoxoti5ldm4nzyzmt0xoje5mjk=|ma==|oty4mjasoteymzgsoty4ndmsoty2mdcsnzu5ntysnzu0mzisoda0mdasnzu1ntcsnzi0mjusnzi0otgsoty4mdcsoty4mtasoty2mjgsoty4mdksnty5mdisoty4mdusoty2ntesoda5ndqsoda5ndgsoda0mzesoty2mtusoty4mtisoty2mtgsnzu1mdqsoty4odysoty2njisotaynzusoty4mtcsodmxndksoda5ndisoty2njmsoty4mdysoty4ndqsotaxotmsoda5ndysoty4mtqsntcwmtcsoty4mtgsoty4mjqsodmwmzqsoty4mtusoty4mtksoteymjq=|ma==|ma==|ma=="', 'demdex')
('dst', '', 'demdex')
('msft', '63194915111066834393820680370862585244', 'demdex')
('__gads', 'id=90707eab6d5b7c2a:t=1397509015:s=alni_mythi0mq_n_w194x6mv1tyx6y6iow', 'doubleclick')
('_drt_', 'no_data', 'doubleclick')
('id', '2225daeae50200fb||t=1397009701|et=730|cs=002213fd4878e9ccbe93f8a45e', 'doubleclick')
('_ga', 'ga1.2.562520873.1397509140', 'doublepimp')
('ch', '#[]', 'doublepimp')
('imh', '#{}', 'doublepimp')
('imh_q', '#[]', 'doublepimp')
('iplh', '#{}', 'doublepimp')
('iplh_q', '#[]', 'doublepimp')
('ish', '#{"25":[{"sid":"224050","d":"2014-04-08t19:28:35"},{"sid":"2260c2","d":"2014-04-14t13:54:40"}],"73":[{"sid":"2260c2","d":"2014-04-14t13:55:05"}],"26":[{"sid":"2260c2","d":"2014-04-14t13:55:31"}],"23":[{"sid":"2260c2","d":"2014-04-14t13:58:05"}]}', 'doublepimp')
('ish', '#{"25":[{"sid":"224050","d":"2014-04-08t19:28:35"},{"sid":"2260c2","d":"2014-04-14t13:54:40"}],"73":[{"sid":"2260c2","d":"2014-04-14t13:55:05"}],"26":[{"sid":"2260c2","d":"2014-04-14t13:55:31"}],"23":[{"sid":"2260c2","d":"2014-04-14t13:58:05"}],"19":[{"sid":"2260c2","d":"2014-04-14t14:36:25"}]}', 'doublepimp')
('ish', '#{"25":[{"sid":"224050","d":"2014-04-08t19:28:35"},{"sid":"2260c2","d":"2014-04-14t13:54:40"},{"sid":"2260c2","d":"2014-04-14t14:36:33"}],"73":[{"sid":"2260c2","d":"2014-04-14t13:55:05"}],"26":[{"sid":"2260c2","d":"2014-04-14t13:55:31"}],"23":[{"sid":"2260c2","d":"2014-04-14t13:58:05"}],"19":[{"sid":"2260c2","d":"2014-04-14t14:36:25"}]}', 'doublepimp')
('ish', '#{"25":[{"sid":"224050","d":"2014-04-08t19:28:35"},{"sid":"2260c2","d":"2014-04-14t13:54:40"},{"sid":"2260c2","d":"2014-04-14t14:36:33"},{"sid":"2260c2","d":"2014-04-14t14:36:35"}],"73":[{"sid":"2260c2","d":"2014-04-14t13:55:05"}],"26":[{"sid":"2260c2","d":"2014-04-14t13:55:31"}],"23":[{"sid":"2260c2","d":"2014-04-14t13:58:05"}],"19":[{"sid":"2260c2","d":"2014-04-14t14:36:25"}]}', 'doublepimp')
('ish', '#{"25":~1~e"224050",~4:~c04-08t19:28:35"},{~3:"2260c2",~4:~c04-14t13:54:40"},{~3:"2260c2",~4:~c04-14t14:36:33"},{~3:"2260c2",~4:~c04-14t14:36:35"},{~3:"2260c2",~4:~c04-14t14:36:43~2,"73":~1~e"2260c2",~4:~c04-14t13:55:05~2,"26":~1~e"2260c2",~4:~c04-14t13:55:31~2,"23":~1~e"2260c2",~4:~c04-14t13:58:05~2,"19":~1~e"2260c2",~4:~c04-14t14:36:25~2}', 'doublepimp')
('ish_q', '#[25,25,73,26,23]', 'doublepimp')
('ish_q', '#[25,25,73,26,23,19]', 'doublepimp')
('ish_q', '#[25,25,73,26,23,19,25]', 'doublepimp')
('ish_q', '#[25,25,73,26,23,19,25,25]', 'doublepimp')
('ish_q', '#[25,25,73,26,23,19,25,25,25]', 'doublepimp')
('isph', '#{}', 'doublepimp')
('isph_q', '#[]', 'doublepimp')
('issh', '2260c2', 'doublepimp')
('iuid', 'b6d831d2-6290-4fc6-a7d0-8b5272fe14d5', 'doublepimp')
('izh', '#{}', 'doublepimp')
('izh_q', '#[]', 'doublepimp')
('msrh', '#{}', 'doublepimp')
('mssh', '#{}', 'doublepimp')
('dp1', 'bu1p/qebfx0bax19aqa**552d7e0d^bl/us570eb18d^pbf/#2000000570eb199^cq/0^idm/1534c82d0^', 'ebay')
('ds2', 'ssts/1397508761776^', 'ebay')
('ebay', '%5esbf%3d%23100000%5ejs%3d1%5e', 'ebay')
('lucky9', '9262831', 'ebay')
('nonsession', 'cgadlaafttfgvmqdkacbcskwnndq0ngjhmzkxnduwytjhzweymdlhzdc0zmzkymi1mmji+fdv', 'ebay')
('npii', 'bcguid/4444be2c1450a2aec2227192fed544a2552d7ea2^tguid/4444ba391450a2aea209ad74ffdbb52b552d7ea2^', 'ebay')
('s', 'cgad4acbttzwnnjiwmzm1ymixnduwytyymwe5zduxmzc2zmzjmznlngi6i4ur', 'ebay')
('ensighten_region', 'us', 'ensighten')
('uuid', '0c7e5a6d-ecba-4434-a6b1-4261addc3732', 'ensighten')
('ud', 'ejxrw1ywwnrguunxaccrl4vurln0zngop8stbgvtk0qdm5oungndkzqlqwnlc6nkc%252fnk01tzvopulcrlsyx5rznpi0kdl5ywa%252fmhl1tkloq0rs6ld3wmd3p09fsjxo6wwzsall%252bxaiww5hq0xmhczwaamr4sng%253d%253d', 'exelator')
('ud', 'ejxrw1ywwnrguunxaccrl4vtd8huwrzq6xklqchujnhazcqlzdjqjm3c0mdswijz3dzznnu81tg1jcnsbel%252buwb6otdgpaxfqp7hjru5jtlnq8viqx3j3rx9px0il7tlfqwm5vesaiufuqytmblqmwaatqyq8g%253d%253d', 'exelator')
('impressions', 'x%9ck%b42%b4%aa%ce%b4217%b303%b1n%b42%b6%aa.%b62%b1r%ca%c8%2c%29v%b2%ce%b42%b4%06sk2ss%c1%5cckss%03%0b%0bs%90%b8%85%95rnbq%09%16%b9%daz%00fq%18%a9', 'exoclick')
('impressions', 'x%9c%8d%8c%3b%0a%c0+%10%05%ef%e2%09%fc%ac%eb%e6y%1a%8b%80%0bi%a5%9dx%f7%10%d3%26%90rf%60%0a%3c%86%82%12%0bs.%08%18%0d%04s%b57%93%15.%2f%ecz%ee%0b%c3%96%a2%15i%b7%17%98%a3%b4%fe%d2%a6%22z%1f%99%7f%1e%9d%23%09%1f%c7%a7%cdy%01%c5%3b%2f%3b', 'exoclick')
('impressions', 'x%9c%7d%8c9%0e%c0+%0c%04%ff%c2%0b0%18p%d6%af%a1%88%14ki%05%1d%e2%ef9%bahq%ca%d9%d5le%c00p%c9%92y%2b%22f%03%c3m%d6%9bsc%d0%07%bb%1d%eb%8d%14%97%92%bch%a1k%17%b8%bd%b6%fe%fa%88xh%a7%21%f9%90r%fe%28%d2g%f1%b6%f8%a7%c8%3a%e7%09%c2%cb%2f5', 'exoclick')
('impressions', 'x%9cu%c9%bb%0d%800%0ce%d1%5d2%01%26%266%cf%d3%a4%40%8a%25%a8%9c.%ca%ee%7c%3a%caso%05a8x%8a%16%b6%8a%8c%11%60%a4%e6%3d%929v%fb%d8%fd%3a%5er%dee%5bt%85%9e%aehg%8d%fe%7bd%acds%defm%18%a1', 'exoclick')
('impressions', 'x%9c%8d%cc1%0e%80+%0c%85%e1%bbp%02%0a%a5%94r%1a%06%13%9b%e8%04%9b%e1%ee%82%9b%89%1a%c7%bf%2f%fd%8ax9t0%12%13%e62%ab%0a%8ay%b5u%93u%5c%be%b2%e9%be%cc%04%9fb%b0%cc%11%c6%9d%c5l%a5%b6%db%06%80%0c%b9%ab%04%eb%02%d1%83%08%0f%e2%fc%c2%0f%11%a7%88%0e%a3%87%ffb%b2%ef%e2%d8z%3f%01z7e%c0', 'exoclick')
('impressions', 'x%9c%95%ce1%0e%c3+%0c%05%d0%bbp%02l%0cv%ec%d30t%aa%a5v%82-%e2%ee%81l%95%d2%a8%1d%ff%ff%f2%93%ab%92%ee%ae%c4e%0ay%d5%a4%7b%9buxzo%c1%5c%d1%ce%d8%fd%fdx%11%d2%c69%8a0%cc%5e4%bcj%eb%1f%1b%00%09%d8p%cd%11s%29%17%22%5c%88%eb%8andz%22%21q%82%df%c5-%7e%17%e7%b6%7e%04%89%c8%7f%88x%23%a2%8dq%00k%c2%5cq', 'exoclick')
('impressions', 'x%9c%95%ce1%0e%c3+%0c%05%d0%bbp%02%db%18l%cci%18%2a%d5r%3b%c1%16q%f7%86l%95%d2%a8%19%ff%b7%fe%93%9b%b1mn%2cy3%d7f%d1%b6%bew%e1%e9%a3%87%eaf%f5%88%c3%df%8f%151%16i%a0%2a%b8%f7j%e1%d5%fa%f8%ba%21%b2b%9dn%09%28%e5%fc%a7%b8v%fc%5b%2c%bcd%26%96%88%27%22%9e%8b%05.d8%7ed%05%92%1b%22%5d%88t%e7%fc%00mg%5cs', 'exoclick')
('impressions', 'x%9c%95%ce1%0e%c3+%0c%05%d0%bbp%02%db%18c%cci%18%2a%05%a9%99%60%8b%b8%7bj%3auj%a2t%fc%fe%fao.%16l%ab%c6qt8%17%f3%b65csk%ed%cd%e5j%94%8f%d8%eb%fa%9a%11%7d%8a%01t%23%7e%eej%ee%5dz%ff%e9%10y1%8fj%01%28%88%3c%14%e7%8a%af%c5%c4sd%e2%e8%f1d%c4s1%c1%8d%08%c7%8f%a8%40%f1%0f%91nd%fa%8a%e0%21%3d%16%05%e4r%9c%dd%18%3b%98%9dr%d9', 'exoclick')
('impressions', 'x%9c%95%ce1%0e%c3+%0c%05%d0%bbp%02%db%18%db%98%d3d%a8t%a4v%82-%e2%ee-l%95%92%28%1d%bf%bf%fc%f47o%bewg%15%13.%9bg%df%9b%b3%87g%ed-%94%eatv%ec%f5%fd%98%11c%d6%04f%8a%df%bbyxm%ad%fft%88lxf%f5%04%94dn%8a%f3%8b%cf%c5%ccsdb%8dx+%e2%b1%98%e1b%84%b5%11%0dh%ff%10%e9b%a4%b5qq%25%dd%16%05%e4t%9c%dd%18%1f%9cqr%e5', 'exoclick')
('impressions', 'x%9c%8d%ce1%0e%c3+%0c%05%d0%bbp%02%1b%0c6%f6i%18%2a%c5r%3b%c1%16q%f7%86l%95%92%2a%e3%ff%96%9f%7es%d2%dd%95%b8h%21k%9at%efg%156%1f%3d%98k%b43%0e%ff%bcv%c4t9%83%08%e3%d1%8b%86w%eb%e3%e7%86h%826%5d3%c4%5c%cacq%7d%d1%bdxi%89%14%89%13%5e%88x-v%f8%23%c2%b9%11%05%22%3f%dfx%e3%adx%80m%ce%2fmr%5cr', 'exoclick')
('impressions', 'x%9c%8d%ce1%0e%c3+%0c%05%d0%bbp%02%1b%8cm%cci%18%2a%15%a9%99%60%8b%b8%7bj%3auj%22%bc%7d%5b%7e%fa%c5%a2%ed%d5hx%99r%b1%60%7b32%f7%ae%bd%b9%5c%cd%e73%f6%ba%bdf%c4%90%24%82%aa%e0w%af%e6%3e%a5%f5%bf%1b%22%29%e6q-%82%8f%cc%8b%e2%fc%a2%7b1%d1%14%c9%93%04%bc%10%f1zl%f0+%c2%d9%11%15%bc%acwl%fevd%90%9f8g%b9%23%83%3e%88%9a%c78%00%96%5er%d4', 'exoclick')
('impressions', 'x%9c%8d%d0a%0e%c4+%08%05%d0%bbx%02p%0a%88%a7q1imfv%bak%bc%fb%8c%edj%92%da%c8%0e%88%2f%1f%b3%b1%1d%c5hx%99r%b6%60g52%b7%97v%5d%2a%e6%d3%d9%b6%f2y%8d%16c%94%0dt%05%7fs5%f7%ce%b5%fd%ed%10i1%f5b%1b%f8%8dyq%1c%afh.f%1a%22y%92%807%22%de%8b%11%1ed83%a2%82%97%f5%8c%d1oe%06%b9%c4q%cb%19%19%f4a%d4%eb%1f5%10%ac%8b8%bfz%ecz%ff%02%f7%bf%89r', 'exoclick')
('impressions', 'x%9c%8d%d1a%0e%03%21%08%05%d0%bbx%02p%04%c4%d3%cc%a2im%da%d5%b8%9bx%f7v%bbj%a2%13%dd%21%e1%e5%2b%87%b1%5d%c5hx%99%f2a%c1%ae%d3%c8%dc%b3%d4%d3%e5b%3e%8f%b2%96%f7%a3%97%18%92dp%15%fc%de%ab%b9%d7q%d6%bf%1e%22%29%e6v%2c%82%8f%cc%9bb%9f%a2%b5%98%a8%8b%e4i%02nd%9c%8b%09nd%18%19q%c1%cb%7e%c6%e4%97%22%83%fc%c4%7e%b632%e8%8d%a8%e3%d5%822%fd%c7%85%88%eb%cd%f4%5ek%1f%fb3%89_', 'exoclick')
('impressions', 'x%9c%8d%d1a%0e%c4+%08%05%d0%bb%f4%04%80%88%88%a7q1imfv%bak%bc%fb%8c%edj%92%da%c8%0e%08%2f%3f%21%9b%d8q%8c%83%a8p%ca%e6%ec%a8%c6%b6%ed%a5%d5-%15%a3t%b6%ad%7c%5e%a3e%17%83%07%d5%80%bf%b9%da%f6%ce%b5%fd%ed%10y1%f5b%1e%c8%8b%2c%8a%e3%8a%e7b%e4%212qpx%23%e2%bd%18%e1a%843%23%2apx%cf%18i%2a%0a%84k%1c%b5%9cq%40%1fd%bddb%1f%d7e%9c%7ff%ecz%ff%02%f8%b6%89w', 'exoclick')
('impressions', 'x%9c%95%d1k%0a%c4+%0c%06%e0%bbx%82d%a3%89%f14.%06%2a%cc%ac%ea%aex%f7%d1v5p%8b%e3%2a%0f%f2%f1%83yy%8f%a2%c4a%02%a5%acn%8f%5di%cdv%eanrq%9b%ce%b6%96%cfk%b4%e8%22%7b%10a%ecsq%f3%ce%7b%fd%d9%21%92%60je%3dx%1f%c2%a28%aeh.f%1a%22yb%877%22%de%8b%11%1ed83%a2%80%e5%f5%8c%d1n%c5%00%7c%89%e3-g%0c+%0f%a2%5c%a2e%1f%d7e%9c%ff%cc%d8u%d1%f5%2a%ba%3fd%ff+%fa%d4%da%17%92_%9f%e2', 'exoclick')
('impressions', 'x%9c%8d%d11%0ec%21%08%06%e0%bbx%02pd%c4%d384%a9i%3b%e9%f6%e2%dd%fb%b4s%13md%83%3f%7c%21%21%2b%ebu%94%02%0bs%ca%ea%f4%aajj%9e%a5u%93%8a%da4%dbv%de%8f%d1%a2%8b%c1%83h%c0%7b.j%5e%b9%b6%9f%0c%91%04s%2f%ea%c1z%e6cql%d1%5e%8c4d%b2%14%1c.d%5c%8b%11%fe%880od%01%1b%16%a2%db%88v%2b2%fa%af8%ea%f8f%06%d9%8bw6e%8b%3e%9e%8b%b8%ff%cc%c8z%ff%00%f8%eb%89w', 'exoclick')
('impressions', 'x%9c%95%d1%3b%0e%c3+%0c%06%e0%bbp%02l%fc%c2%9c%86%a1r%91%da%89lq%ee%de%90n%95b%94z%b3%7f%f1%c92%d5%d5%d7%e6%a4bb%a5z%f2%b5%3byx%b6%a5%87%d2%1c%cb%d1.%ed%fd%18-%a4%ac%1c%cd%14%f6%b9yx%d5%be%fcd%00dp%b6%e6%1c%91en%8a%e3%15%cd%c5lc%24%24mp%22%c2%b9%98%e3%85%18%8f%1d%c1%22%ea%89%98%26%22ne%01%fe%8a%a3n%ef%28%d1%e6%e2%9e%1d%22%02%e7%fb%22%cc%7ffd%e3%8e%c4+%fc%87%a8%17%a2%96m%fb%00%93%84%9f%e8', 'exoclick')
('datr', 'ha1eu7p2szii8wk4hwbei06l', 'facebook')
('reg_fb_gate', 'https%3a%2f%2fwww.facebook.com%2f', 'facebook')
('reg_fb_ref', 'https%3a%2f%2fwww.facebook.com%2f', 'facebook')
('reg_fb_ref', 'https%3a%2f%2fwww.facebook.com%2fpages%2fcreate%2f', 'facebook')
('reg_fb_ref', 'https%3a%2f%2fwww.facebook.com%2flogin.php%3fskip_api_login%3d1%26api_key%3d127621437303857%26signed_next%3d1%26next%3dhttps%253a%252f%252fwww.facebook.com%252fdialog%252foauth%253fredirect_uri%253dhttp%25253a%25252f%25252fimgur.com%25252fsignin%25252ffacebook%2526state%253d0cf32268dcd1248a75ea431fe89bbfe6%2526scope%253duser_photos%25252cemail%2526client_id%253d127621437303857%2526ret%253dlogin%26cancel_uri%3dhttp%253a%252f%252fimgur.com%252fsignin%252ffacebook%253ferror%253daccess_denied%2526error_code%253d200%2526error_description%253dpermissions%252berror%2526error_reason%253duser_denied%2526state%253d0cf32268dcd1248a75ea431fe89bbfe6%2523_%253d_%26display%3dpage', 'facebook')
('wd', '1440x488', 'facebook')
('wd', '1440x515', 'facebook')
('pluto', '124281731804|v1', 'fastclick')
('flashtalkingad1', '"guid=2295ea145ba376|segment=(cu0-t:2295-m:1)|tp=(381-1880-v-22952054)|f20072942=(s:1-t:22952054)"', 'flashtalking')
('ltuid', 'c4ee63ea44c05921a2419e16311fd942e', 'fmpub')
('gdyn', 'klg42magqmqgbscfje63lxfrssgmj19clvnxgsrppehigkggqqtolglllex2gginxfm_f01ssg..', 'gemius')
('gdyn', 'klgkimxgqmqgbscfje63lxfrssgmf1xmfenxgsrpp1ocg8qsg0lezsguixsp08gx0ly8k6kxsgms', 'gemius')
('__auc', 'f56e26ea1454450aade79214d89', 'gmw')
('__utma', '138750316.25031746.1397010512.1397010512.1397010512.1', 'gmw')
('__utmz', '138750316.1397010512.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none)', 'gmw')
('hm_lpvt_aed44f5ad0d4811f8ce102a91bd71f68', '1397508825', 'gmw')
('hm_lvt_aed44f5ad0d4811f8ce102a91bd71f68', '1397010437,1397508825', 'gmw')
('wdcid', '6a37296d09fb31a8', 'gmw')
('__gads', 'id=0db7c1ae90e3c3e0:t=1397010427:s=alni_myioo9ngk89vugux9p5rusy7_wxxa', 'go')
('__utma', '133755288.1593895853.1397010427.1397010427.1397508828.2', 'go')
('__utmc', '133755288', 'go')
('__utmz', '133755288.1397010427.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none)', 'go')
('asi_segs', 'a10049|a10028|a10058|a0', 'go')
('crblm', 'cblm-001:', 'go')
('crblm_last_update', '1397508878:3fda189c-cd8c-4f0b-936d-e781af8df09a', 'go')
('ctoarpagename', '""', 'go')
('ctobrowsersession', '1397508834028', 'go')
('ctolocalvisitor', '{}', 'go')
('ctopagename', '"dfam:goc:home"', 'go')
('ctotimestamp', '1397508834033', 'go')
